title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,,,,,,,,
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82,80,,,,,,,,
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82,,,,,,,,
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80,,,,,,,,
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80,,,,,,,,
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80,,,,,,,,
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,,,,,,,,
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80,,,,,,,,
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80,,,,,,,,
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80,,,,,,,,
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80,,,,,,,,
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80,,,,,,,,
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,,,,,,,,
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80,,,,,,,,
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80,,,,,,,,
The Hunter,R,language and brief violence,100,2011,NA,82,,,,,,,,
Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,NA,82,,,,,,,,
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80,,,,,,,,
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80,,,,,,,,
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80,,,,,,,,
The 100,NR,This movie has not been rated.,124,2016,97,80,,,,,,,,
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80,,,,,,,,
"Ã“ Pai, Ã“ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,NA,82,,,,,,,,
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,NA,82,,,,,,,,
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,80,,,,,,,,
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80,,,,,,,,
Marvel's Iron Fist,TV-MA,,110,2017,98,80,,,,,,,,
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,80,,,,,,,,
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80,,,,,,,,
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82,,,,,,,,
Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82,,,,,,,,
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80,,,,,,,,
OperaÃ§Ãµes Especiais,TV-MA,,110,2015,NA,82,,,,,,,,
3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82,,,,,,,,
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80,,,,,,,,
Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82,,,,,,,,
Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,NA,82,,,,,,,,
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80,,,,,,,,
"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,NA,82,,,,,,,,
White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,NA,82,,,,,,,,
Girlboss,TV-MA,,110,2017,94,80,,,,,,,,
City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,NA,82,,,,,,,,
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80,,,,,,,,
Sand Castle,TV-MA,,110,2017,89,80,,,,,,,,
Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82,,,,,,,,
Sandy Wexler,TV-14,,90,2017,92,80,,,,,,,,
O Amor no DivÃ£,TV-MA,,110,2016,NA,82,,,,,,,,
